"meta_score","title","platform","user_score"
87,"Pikmin 4","Switch",9
74,"Mario Kart 8 Deluxe: Booster Course Pass - Wave 5","Switch",7.6
56,"Everybody 1-2-Switch!","Switch",5.4
82,"Pikmin 1","Switch",8.4
65,"Pikmin 2","Switch",8.6
80,"Pikmin 1 + 2","Switch",8.5
96,"The Legend of Zelda: Tears of the Kingdom","Switch",8.2
92,"Xenoblade Chronicles 3: Expansion Pass Wave 4 - Future Redeemed","Switch",8.8
82,"Advance Wars 1 + 2: Re-Boot Camp","Switch",8.1
81,"Bayonetta Origins: Cereza and the Lost Demon","Switch",8.6
86,"Mario Kart 8 Deluxe: Booster Course Pass - Wave 4","Switch",7.8
79,"Kirby's Return to Dream Land Deluxe","Switch",8.8
94,"Metroid Prime Remastered","Switch",8.7
80,"Fire Emblem Engage","Switch",6.6
83,"Mario Kart 8 Deluxe: Booster Course Pass - Wave 3","Switch",7.3
71,"Pokemon Violet","Switch",4
72,"Pokemon Scarlet","Switch",3.4
86,"Bayonetta 3","Switch",7.1
83,"Splatoon 3","Switch",6.8
67,"Kirby's Dream Buffet","Switch",7.3
77,"Mario Kart 8 Deluxe: Booster Course Pass - Wave 2","Switch",6.8
89,"Xenoblade Chronicles 3","Switch",8.5
81,"Live A Live","Switch",7.5
80,"Fire Emblem Warriors: Three Hopes","Switch",8.9
73,"Mario Strikers: Battle League","Switch",4.4
72,"Nintendo Switch Sports","Switch",5.9
85,"Kirby and the Forgotten Land","Switch",8.9
73,"Mario Kart 8 Deluxe: Booster Course Pass - Wave 1","Switch",6.8
83,"Pokemon Legends: Arceus","Switch",8.1
73,"Big Brain Academy: Brain vs. Brain","Switch",8.1
69,"Disney Magical World 2: Enchanted Edition","Switch",7
73,"Pokemon Brilliant Diamond","Switch",5.3
73,"Pokemon Shining Pearl","Switch",5.5
82,"Animal Crossing: New Horizons - Happy Home Paradise","Switch",7.9
80,"Mario Party Superstars","Switch",8
65,"Pikmin Bloom","iOS",6
88,"Metroid Dread","Switch",8.7
76,"WarioWare: Get It Together!","Switch",7.7
81,"The Legend of Zelda: Skyward Sword HD","Switch",7.3
70,"Mario Golf: Super Rush","Switch",5.5
67,"Hyrule Warriors: Age of Calamity - Pulse of the Ancients","Switch",8.2
77,"Game Builder Garage","Switch",7.8
66,"DC Super Hero Girls: Teen Power","Switch",6.7
71,"Miitopia","Switch",8.1
74,"Famicom Detective Club: The Missing Heir","Switch",7.1
74,"Famicom Detective Club: The Girl Who Stands Behind","Switch",7.1
79,"New Pokemon Snap","Switch",6.9
89,"Super Mario 3D World + Bowser's Fury","Switch",8.7
66,"Fitness Boxing 2: Rhythm & Exercise","Switch",5.7
63,"Fire Emblem: Shadow Dragon & the Blade of Light","Switch",7.8
78,"Hyrule Warriors: Age of Calamity","Switch",8
85,"Pikmin 3 Deluxe","Switch",8.6
78,"Part Time UFO","Switch",7.5
75,"Pokemon Sword / Shield: The Crown Tundra","Switch",7.1
75,"Mario Kart Live: Home Circuit","Switch",7.1
75,"Super Mario Bros. 35","Switch",7.6
65,"Kirby Fighters 2","Switch",7.9
82,"Super Mario 3D All-Stars","Switch",6.4
80,"Paper Mario: The Origami King","Switch",7
64,"Pokemon Cafe Mix","Switch",6.2
69,"Pokemon Sword / Shield: The Isle of Armor","Switch",5.2
82,"Clubhouse Games: 51 Worldwide Classics","Switch",7.7
89,"Xenoblade Chronicles: Definitive Edition","Switch",8.8
78,"Good Job!","Switch",8
90,"Animal Crossing: New Horizons","Switch",5.6
69,"Pokemon Mystery Dungeon: Rescue Team DX","Switch",8.1
75,"Fire Emblem: Three Houses - Side Story: Cindered Shadows","Switch",8.1
81,"Tokyo Mirage Sessions #FE Encore","Switch",6.2
64,"Dr. Kawashima's Brain Training for Nintendo Switch","Switch",6.4
80,"Pokemon Shield","Switch",4.7
80,"Pokemon Sword","Switch",4.7
80,"Pokemon Sword / Shield Dual Pack","Switch",4.4
73,"Layton's Mystery Journey: Katrielle and The Millionaires' Conspiracy - Deluxe Edition","Switch",6.8
75,"The Stretchers","Switch",7.2
86,"Luigi's Mansion 3","Switch",8.4
83,"Ring Fit Adventure","Switch",8.6
64,"Little Town Hero","Switch",4.7
91,"Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition","Switch",8.6
59,"Mario Kart Tour","iOS",4.2
87,"The Legend of Zelda: Link's Awakening","Switch",8.4
69,"Daemon X Machina","Switch",7.6
74,"Super Kirby Clash","Switch",7.5
87,"Astral Chain","Switch",8.9
89,"Fire Emblem: Three Houses","Switch",8.8
73,"Marvel Ultimate Alliance 3: The Black Order","Switch",7.3
58,"Dr. Mario World","iOS",3.4
88,"Super Mario Maker 2","Switch",8.5
85,"Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda","Switch",8
71,"Nintendo Labo: Toycon 04 VR Kit","Switch",6.6
81,"BoxBoy! + BoxGirl!","Switch",8
79,"Yoshi's Crafted World","Switch",7.8
81,"Captain Toad: Treasure Tracker - Special Episode","Switch",8.2
79,"Kirby's Extra Epic Yarn","3DS",6.7
83,"Tetris 99","Switch",8.1
80,"Yo-kai Watch 3","3DS",8.4
67,"Travis Strikes Again: No More Heroes","Switch",7.8
84,"Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey","3DS",7.8
80,"New Super Mario Bros. U Deluxe","Switch",7
66,"Fitness Boxing","Switch",6.5
93,"Super Smash Bros. Ultimate","Switch",8.6
80,"Pokemon: Let's Go, Eevee!","Switch",6.4
79,"Pokemon: Let's Go, Pikachu!","Switch",6.3
77,"The World Ends with You: Final Remix","Switch",7.4
74,"Luigi's Mansion","3DS",8.1
76,"Super Mario Party","Switch",7
69,"Dragalia Lost","iOS",7.7
80,"Xenoblade Chronicles 2: Torna ~ The Golden Country","Switch",8.5
69,"Nintendo Labo: Toycon 03 Vehicle Kit","Switch",7.2
67,"Yo-kai Watch Blasters: Red Cat Corps","3DS",6.8
67,"Yo-kai Watch Blasters: White Dog Squad","3DS",7.1
78,"WarioWare Gold","3DS",8.2
62,"Go Vacation","Switch",7.7
82,"Captain Toad: Treasure Tracker","Switch",7.9
79,"Captain Toad: Treasure Tracker","3DS",7
83,"Octopath Traveler","Switch",8.4
75,"Mario Tennis Aces","Switch",7
82,"Arcade Archives: Donkey Kong","Switch",7.7
82,"Splatoon 2: Octo Expansion","Switch",8.5
76,"Sushi Striker: The Way of Sushido","Switch",7.7
62,"Pokemon Quest","iOS",4.1
64,"Pokemon Quest","Switch",6
69,"Dillon's Dead-Heat Breakers","3DS",7.7
78,"Hyrule Warriors: Definitive Edition","Switch",7.9
86,"Donkey Kong Country: Tropical Freeze","Switch",8.6
77,"Nintendo Labo: Toycon 01 Variety Kit","Switch",6.9
68,"Nintendo Labo: Toycon 02 Robot Kit","Switch",6.5
71,"Detective Pikachu","3DS",7.4
73,"Kirby Star Allies","Switch",7.5
90,"Bayonetta + Bayonetta 2","Switch",8.7
92,"Bayonetta 2","Switch",8.6
84,"Bayonetta","Switch",8.3
81,"Dragon Quest Builders","Switch",8
57,"Kirby Battle Royale","3DS",7
80,"Style Savvy: Styling Star","3DS",7.6
81,"The Legend of Zelda: Breath of the Wild - The Champions' Ballad","Switch",8.5
83,"Xenoblade Chronicles 2","Switch",8.5
72,"Animal Crossing: Pocket Camp","iOS",6.8
84,"Pokemon Ultra Sun","3DS",7.7
84,"Pokemon Ultra Moon","3DS",7.6
77,"Ittle Dew 2+","Switch",7.8
59,"Mario Party: The Top 100","3DS",6.2
84,"Snipperclips Plus: Cut It Out, Together!","Switch",8
97,"Super Mario Odyssey","Switch",8.9
69,"Fire Emblem Warriors","3DS",7.8
74,"Fire Emblem Warriors","Switch",7.7
72,"Layton's Mystery Journey: Katrielle and The Millionaires' Conspiracy","3DS",6.3
81,"Mario & Luigi: Superstar Saga + Bowser's Minions","3DS",8.2
73,"Yo-kai Watch 2: Psychic Specters","3DS",8.5
75,"Dragon Ball: Xenoverse 2","Switch",7.5
79,"Pokken Tournament DX","Switch",7.3
85,"Metroid: Samus Returns","3DS",8.7
79,"Monster Hunter Stories","3DS",8.2
70,"Sine Mora EX","Switch",7.2
69,"Hey! Pikmin","3DS",6.6
67,"Miitopia","3DS",7.9
83,"Splatoon 2","Switch",8.4
73,"Layton's Mystery Journey: Katrielle and The Millionaire's Conspiracy","iOS",7.3
53,"Flip Wars","Switch",5.9
69,"Kirby's Blowout Blast","3DS",7
78,"The Legend of Zelda: Breath of the Wild - The Master Trials","Switch",7.7
76,"Ever Oasis","3DS",8.1
77,"ARMS","Switch",7.1
81,"Fire Emblem Echoes: Shadows of Valentia","3DS",8.6
92,"Mario Kart 8 Deluxe","Switch",8.6
83,"BYE-BYE BOXBOY!","3DS",7.9
57,"Team Kirby Clash Deluxe","3DS",6.5
62,"Mario Sports Superstars","3DS",7.3
96,"The Legend of Zelda: Breath of the Wild","WIIU",8.3
97,"The Legend of Zelda: Breath of the Wild","Switch",8.7
58,"1-2-Switch","Switch",4.8
80,"Snipperclips - Cut it out, together!","Switch",8.2
64,"Tank Troopers","3DS",6
77,"Poochy & Yoshi's Woolly World","3DS",7.8
72,"Fire Emblem Heroes","iOS",7.2
85,"Dragon Quest VIII: Journey of the Cursed King","3DS",8.6
76,"Super Mario Run","iOS",6.2
73,"Super Mario Maker for Nintendo 3DS","3DS",6.5
87,"Pokemon Sun","3DS",7.6
87,"Pokemon Moon","3DS",7.6
68,"Mario Party: Star Rush","3DS",6.9
73,"Disney Magical World 2","3DS",5.5
76,"Paper Mario: Color Splash","WIIU",7.1
72,"Yo-kai Watch 2: Bony Spirits","3DS",8
70,"Yo-kai Watch 2: Fleshy Souls","3DS",8
81,"Dragon Quest VII: Fragments of the Forgotten Past","3DS",8.2
86,"Picross 3D: Round 2","3DS",7.8
64,"Metroid Prime: Federation Force","3DS",5.4
78,"Style Savvy: Fashion Forward","3DS",6.9
69,"Pokemon GO","iOS",5.5
80,"BoxBoxBoy!","3DS",7.9
80,"Tokyo Mirage Sessions #FE","WIIU",7.9
65,"Mario & Sonic at the Rio 2016 Olympic Games","WIIU",7.7
83,"Rhythm Heaven Megamix","3DS",8.2
81,"Kirby: Planet Robobot","3DS",8.7
72,"Disney Art Academy","3DS",7.1
83,"Pocket Card Jockey","3DS",8.1
69,"Star Fox Zero","WIIU",7.4
74,"Star Fox Guard","WIIU",7.4
81,"Bravely Second: End Layer","3DS",8.2
72,"Miitomo","iOS",7
70,"Hyrule Warriors Legends","3DS",7.5
60,"Mario & Sonic at the Rio 2016 Olympic Games","3DS",6.9
76,"Pokken Tournament","WIIU",7.4
88,"Fire Emblem Fates: Revelation","3DS",7.2
86,"The Legend of Zelda: Twilight Princess HD","WIIU",8.6
87,"Fire Emblem Fates: Conquest","3DS",8
86,"Fire Emblem Fates: Birthright","3DS",7.8
88,"Fire Emblem Fates: Special Edition","3DS",7.8
76,"Mario & Luigi: Paper Jam","3DS",7.3
84,"Xenoblade Chronicles X","WIIU",9.1
75,"Pokemon Picross","3DS",7.5
69,"Pokemon Super Mystery Dungeon","3DS",8.2
58,"Mario Tennis: Ultra Smash","WIIU",5.1
46,"Animal Crossing: amiibo Festival","WIIU",4
56,"Nintendo Badge Arcade","3DS",4
76,"Yo-kai Watch","3DS",8.1
73,"The Legend of Zelda: Tri Force Heroes","3DS",7.2
67,"Fatal Frame: Maiden of Black Water","WIIU",8
78,"Yoshi's Woolly World","WIIU",8.4
59,"Chibi-Robo! Zip Lash","3DS",5.1
66,"Animal Crossing: Happy Home Designer","3DS",6.9
88,"Super Mario Maker","WIIU",8.7
62,"Pokemon Shuffle Mobile","iOS",6.4
43,"Devil's Third","WIIU",6.6
73,"LBX: Little Battlers eXperience","3DS",7.4
82,"Art Academy: Home Studio","WIIU",7.9
69,"Dr. Mario: Miracle Cure","3DS",6.9
81,"Splatoon","WIIU",8.7
73,"Puzzle & Dragons Z + Puzzle & Dragons: Super Mario Bros. Edition","3DS",7.6
83,"Stretchmo","3DS",8
90,"Mario Kart 8 DLC Pack 2","WIIU",8.2
86,"Xenoblade Chronicles 3D","3DS",8.7
58,"Pokemon Rumble World","3DS",6.2
80,"BOXBOY!","3DS",8.1
66,"Mario Party 10","WIIU",6.4
57,"Fossil Fighters: Frontier","3DS",5.3
69,"Code Name: S.T.E.A.M.","3DS",7.8
70,"Mario vs. Donkey Kong: Tipping Stars","WIIU",7.5
70,"Mario vs. Donkey Kong: Tipping Stars","3DS",7.4
73,"Kirby and the Rainbow Curse","WIIU",8
56,"Pokemon Shuffle","3DS",6.1
89,"The Legend of Zelda: Majora's Mask 3D","3DS",8.9
81,"Captain Toad: Treasure Tracker","WIIU",8.6
92,"Super Smash Bros. for Wii U","WIIU",8.9
82,"Pokemon Alpha Sapphire","3DS",7.6
83,"Pokemon Omega Ruby","3DS",7.5
87,"Mario Kart 8 DLC Pack 1","WIIU",8.2
69,"Ultimate NES Remix","3DS",7.4
76,"Pokemon Art Academy","3DS",7.8
86,"Bayonetta","WIIU",8.8
73,"Fantasy Life","3DS",8.4
85,"Super Smash Bros. for Nintendo 3DS","3DS",8.4
76,"Hyrule Warriors","WIIU",8.3
91,"Bayonetta 2","WIIU",8.9
79,"Professor Layton VS Phoenix Wright Ace Attorney","3DS",8.2
65,"Dedede's Drum Dash Deluxe","3DS",7.3
66,"Kirby Fighters Deluxe","3DS",6.1
80,"Pushmo World","WIIU",8
75,"Inazuma Eleven Go: Shadow","3DS",7.2
74,"Inazuma Eleven Go: Light","3DS",7.6
71,"Tomodachi Life","3DS",7.7
88,"Mario Kart 8","WIIU",8.7
80,"Kirby: Triple Deluxe","3DS",8.6
78,"Mario Golf: World Tour","3DS",8.1
73,"NES Remix 2","WIIU",8
65,"Nintendo Pocket Football Club","3DS",7.7
71,"Disney Magical World","3DS",7.5
74,"Rusty's Real Deal Baseball","3DS",7.7
70,"Pokemon Battle Trozei","3DS",7.3
64,"Yoshi's New Island","3DS",6.1
81,"Professor Layton and the Azran Legacy","3DS",8.1
83,"Donkey Kong Country: Tropical Freeze","WIIU",8.9
70,"Inazuma Eleven 3: Team Ogre Attacks!","3DS",8
70,"Steel Diver: Sub Wars","3DS",7.6
85,"Bravely Default","3DS",8.4
49,"Chibi-Robo! Photo Finder","3DS",7.6
65,"Dr. Luigi","WIIU",7.3
71,"NES Remix","WIIU",7.3
57,"Mario Party: Island Tour","3DS",5.9
91,"The Legend of Zelda: A Link Between Worlds","3DS",9
93,"Super Mario 3D World","WIIU",8.9
55,"Mario & Sonic at the Sochi 2014 Olympic Winter Games","WIIU",6.5
68,"Wii Sports Club","WIIU",7
72,"Wii Fit U","WIIU",7.7
65,"Wii Party U","WIIU",7.1
87,"Pokemon X","3DS",7.5
88,"Pokemon Y","3DS",7.5
70,"Inazuma Eleven 3: Lightning Bolt","3DS",8.1
72,"Inazuma Eleven 3: Bomb Blast","3DS",8.1
90,"The Legend of Zelda: The Wind Waker HD","WIIU",9
78,"The Wonderful 101","WIIU",8.6
49,"Pokemon Rumble U","WIIU",5.2
81,"Mario & Luigi: Dream Team","3DS",8.3
70,"Art Academy: SketchPad","WIIU",6.3
87,"Pikmin 3","WIIU",8.8
61,"Game & Wario","WIIU",6.7
77,"New Super Luigi U","WIIU",8
88,"Animal Crossing: New Leaf","3DS",8.7
83,"Donkey Kong Country Returns 3D","3DS",8.2
78,"Mario and Donkey Kong: Minis on the Move","3DS",7.2
62,"LEGO City Undercover: The Chase Begins","3DS",6.7
